,STATION,NAME,DATE,Precipitation (inches),Snowfall (inches),Snow Depth (inches),Avg Hourly Temp (Fahrenheit),Highest Hourly Temp (Fahrenheit),Lowest Hourly Temp (Fahrenheit),Temperature at Observation (Fahrenheit),Year,Month,Day,Month & Day,Year & Month
77,USW00013988,"KANSAS CITY DOWNTOWN AIRPORT, MO US",1934-03-19,0.0,0.0,0.0,,68.0,24.0,,1934,3,19,03-19,1934-03
78,USW00013988,"KANSAS CITY DOWNTOWN AIRPORT, MO US",1934-03-20,0.0,0.0,0.0,,79.0,44.0,,1934,3,20,03-20,1934-03
79,USW00013988,"KANSAS CITY DOWNTOWN AIRPORT, MO US",1934-03-21,0.0,0.0,0.0,,68.0,44.0,,1934,3,21,03-21,1934-03
80,USW00013988,"KANSAS CITY DOWNTOWN AIRPORT, MO US",1934-03-22,0.0,0.0,0.0,,44.0,28.0,,1934,3,22,03-22,1934-03
81,USW00013988,"KANSAS CITY DOWNTOWN AIRPORT, MO US",1934-03-23,0.03,0.0,0.0,,37.0,26.0,,1934,3,23,03-23,1934-03
82,USW00013988,"KANSAS CITY DOWNTOWN AIRPORT, MO US",1934-03-24,0.01,0.5,0.0,,38.0,27.0,,1934,3,24,03-24,1934-03
83,USW00013988,"KANSAS CITY DOWNTOWN AIRPORT, MO US",1934-03-25,0.0,0.0,0.0,,50.0,23.0,,1934,3,25,03-25,1934-03
84,USW00013988,"KANSAS CITY DOWNTOWN AIRPORT, MO US",1934-03-26,0.08,0.0,0.0,,42.0,33.0,,1934,3,26,03-26,1934-03
85,USW00013988,"KANSAS CITY DOWNTOWN AIRPORT, MO US",1934-03-27,0.0,0.0,0.0,,41.0,24.0,,1934,3,27,03-27,1934-03
86,USW00013988,"KANSAS CITY DOWNTOWN AIRPORT, MO US",1934-03-28,0.0,0.0,0.0,,62.0,26.0,,1934,3,28,03-28,1934-03
87,USW00013988,"KANSAS CITY DOWNTOWN AIRPORT, MO US",1934-03-29,0.0,0.0,0.0,,73.0,48.0,,1934,3,29,03-29,1934-03
88,USW00013988,"KANSAS CITY DOWNTOWN AIRPORT, MO US",1934-03-30,0.07,0.0,0.0,,62.0,30.0,,1934,3,30,03-30,1934-03
89,USW00013988,"KANSAS CITY DOWNTOWN AIRPORT, MO US",1934-03-31,0.0,0.0,0.0,,50.0,29.0,,1934,3,31,03-31,1934-03
90,USW00013988,"KANSAS CITY DOWNTOWN AIRPORT, MO US",1934-04-01,0.22,0.0,0.0,,66.0,44.0,,1934,4,1,04-01,1934-04
91,USW00013988,"KANSAS CITY DOWNTOWN AIRPORT, MO US",1934-04-02,0.0,0.0,0.0,,79.0,43.0,,1934,4,2,04-02,1934-04
92,USW00013988,"KANSAS CITY DOWNTOWN AIRPORT, MO US",1934-04-03,0.88,0.0,0.0,,81.0,60.0,,1934,4,3,04-03,1934-04
93,USW00013988,"KANSAS CITY DOWNTOWN AIRPORT, MO US",1934-04-04,0.87,0.0,0.0,,67.0,55.0,,1934,4,4,04-04,1934-04
94,USW00013988,"KANSAS CITY DOWNTOWN AIRPORT, MO US",1934-04-05,0.0,0.0,0.0,,61.0,52.0,,1934,4,5,04-05,1934-04
95,USW00013988,"KANSAS CITY DOWNTOWN AIRPORT, MO US",1934-04-06,0.0,0.0,0.0,,54.0,45.0,,1934,4,6,04-06,1934-04
96,USW00013988,"KANSAS CITY DOWNTOWN AIRPORT, MO US",1934-04-07,0.0,0.0,0.0,,66.0,38.0,,1934,4,7,04-07,1934-04
97,USW00013988,"KANSAS CITY DOWNTOWN AIRPORT, MO US",1934-04-08,0.0,0.0,0.0,,74.0,49.0,,1934,4,8,04-08,1934-04
98,USW00013988,"KANSAS CITY DOWNTOWN AIRPORT, MO US",1934-04-09,0.01,0.0,0.0,,86.0,58.0,,1934,4,9,04-09,1934-04
99,USW00013988,"KANSAS CITY DOWNTOWN AIRPORT, MO US",1934-04-10,0.0,0.0,0.0,,86.0,49.0,,1934,4,10,04-10,1934-04
100,USW00013988,"KANSAS CITY DOWNTOWN AIRPORT, MO US",1934-04-11,0.0,0.0,0.0,,70.0,45.0,,1934,4,11,04-11,1934-04
101,USW00013988,"KANSAS CITY DOWNTOWN AIRPORT, MO US",1934-04-12,0.0,0.0,0.0,,54.0,40.0,,1934,4,12,04-12,1934-04
102,USW00013988,"KANSAS CITY DOWNTOWN AIRPORT, MO US",1934-04-13,0.0,0.0,0.0,,59.0,36.0,,1934,4,13,04-13,1934-04
103,USW00013988,"KANSAS CITY DOWNTOWN AIRPORT, MO US",1934-04-14,0.0,0.0,0.0,,76.0,36.0,,1934,4,14,04-14,1934-04
104,USW00013988,"KANSAS CITY DOWNTOWN AIRPORT, MO US",1934-04-15,0.06,0.0,0.0,,57.0,45.0,,1934,4,15,04-15,1934-04
105,USW00013988,"KANSAS CITY DOWNTOWN AIRPORT, MO US",1934-04-16,0.0,0.0,0.0,,70.0,40.0,,1934,4,16,04-16,1934-04
106,USW00013988,"KANSAS CITY DOWNTOWN AIRPORT, MO US",1934-04-17,0.0,0.0,0.0,,68.0,52.0,,1934,4,17,04-17,1934-04
107,USW00013988,"KANSAS CITY DOWNTOWN AIRPORT, MO US",1934-04-18,0.0,0.0,0.0,,79.0,49.0,,1934,4,18,04-18,1934-04
108,USW00013988,"KANSAS CITY DOWNTOWN AIRPORT, MO US",1934-04-19,0.0,0.0,0.0,,61.0,45.0,,1934,4,19,04-19,1934-04
109,USW00013988,"KANSAS CITY DOWNTOWN AIRPORT, MO US",1934-04-20,0.0,0.0,0.0,,62.0,38.0,,1934,4,20,04-20,1934-04
110,USW00013988,"KANSAS CITY DOWNTOWN AIRPORT, MO US",1934-04-21,0.0,0.0,0.0,,67.0,36.0,,1934,4,21,04-21,1934-04
111,USW00013988,"KANSAS CITY DOWNTOWN AIRPORT, MO US",1934-04-22,0.0,0.0,0.0,,71.0,54.0,,1934,4,22,04-22,1934-04
112,USW00013988,"KANSAS CITY DOWNTOWN AIRPORT, MO US",1934-04-23,0.0,0.0,0.0,,75.0,52.0,,1934,4,23,04-23,1934-04
113,USW00013988,"KANSAS CITY DOWNTOWN AIRPORT, MO US",1934-04-24,0.0,0.0,0.0,,60.0,44.0,,1934,4,24,04-24,1934-04
114,USW00013988,"KANSAS CITY DOWNTOWN AIRPORT, MO US",1934-04-25,0.0,0.0,0.0,,67.0,37.0,,1934,4,25,04-25,1934-04
115,USW00013988,"KANSAS CITY DOWNTOWN AIRPORT, MO US",1934-04-26,0.36,0.0,0.0,,67.0,54.0,,1934,4,26,04-26,1934-04
116,USW00013988,"KANSAS CITY DOWNTOWN AIRPORT, MO US",1934-04-27,0.0,0.0,0.0,,59.0,42.0,,1934,4,27,04-27,1934-04
117,USW00013988,"KANSAS CITY DOWNTOWN AIRPORT, MO US",1934-04-28,0.0,0.0,0.0,,73.0,44.0,,1934,4,28,04-28,1934-04
118,USW00013988,"KANSAS CITY DOWNTOWN AIRPORT, MO US",1934-04-29,0.0,0.0,0.0,,79.0,52.0,,1934,4,29,04-29,1934-04
119,USW00013988,"KANSAS CITY DOWNTOWN AIRPORT, MO US",1934-04-30,0.0,0.0,0.0,,76.0,57.0,,1934,4,30,04-30,1934-04
120,USW00013988,"KANSAS CITY DOWNTOWN AIRPORT, MO US",1934-05-01,0.0,0.0,0.0,,82.0,59.0,,1934,5,1,05-01,1934-05
121,USW00013988,"KANSAS CITY DOWNTOWN AIRPORT, MO US",1934-05-02,0.0,0.0,0.0,,82.0,60.0,,1934,5,2,05-02,1934-05
122,USW00013988,"KANSAS CITY DOWNTOWN AIRPORT, MO US",1934-05-03,0.14,0.0,0.0,,80.0,60.0,,1934,5,3,05-03,1934-05
123,USW00013988,"KANSAS CITY DOWNTOWN AIRPORT, MO US",1934-05-04,0.81,0.0,0.0,,72.0,58.0,,1934,5,4,05-04,1934-05
124,USW00013988,"KANSAS CITY DOWNTOWN AIRPORT, MO US",1934-05-05,0.0,0.0,0.0,,77.0,57.0,,1934,5,5,05-05,1934-05
125,USW00013988,"KANSAS CITY DOWNTOWN AIRPORT, MO US",1934-05-06,0.0,0.0,0.0,,88.0,58.0,,1934,5,6,05-06,1934-05
126,USW00013988,"KANSAS CITY DOWNTOWN AIRPORT, MO US",1934-05-07,0.0,0.0,0.0,,92.0,61.0,,1934,5,7,05-07,1934-05
127,USW00013988,"KANSAS CITY DOWNTOWN AIRPORT, MO US",1934-05-08,0.0,0.0,0.0,,94.0,64.0,,1934,5,8,05-08,1934-05
128,USW00013988,"KANSAS CITY DOWNTOWN AIRPORT, MO US",1934-05-09,0.06,0.0,0.0,,89.0,72.0,,1934,5,9,05-09,1934-05
129,USW00013988,"KANSAS CITY DOWNTOWN AIRPORT, MO US",1934-05-10,0.0,0.0,0.0,,78.0,58.0,,1934,5,10,05-10,1934-05
130,USW00013988,"KANSAS CITY DOWNTOWN AIRPORT, MO US",1934-05-11,0.0,0.0,0.0,,84.0,55.0,,1934,5,11,05-11,1934-05
131,USW00013988,"KANSAS CITY DOWNTOWN AIRPORT, MO US",1934-05-12,0.17,0.0,0.0,,86.0,64.0,,1934,5,12,05-12,1934-05
132,USW00013988,"KANSAS CITY DOWNTOWN AIRPORT, MO US",1934-05-13,1.49,0.0,0.0,,66.0,51.0,,1934,5,13,05-13,1934-05
133,USW00013988,"KANSAS CITY DOWNTOWN AIRPORT, MO US",1934-05-14,0.46,0.0,0.0,,64.0,50.0,,1934,5,14,05-14,1934-05
134,USW00013988,"KANSAS CITY DOWNTOWN AIRPORT, MO US",1934-05-15,0.0,0.0,0.0,,70.0,51.0,,1934,5,15,05-15,1934-05
135,USW00013988,"KANSAS CITY DOWNTOWN AIRPORT, MO US",1934-05-16,0.0,0.0,0.0,,79.0,50.0,,1934,5,16,05-16,1934-05
136,USW00013988,"KANSAS CITY DOWNTOWN AIRPORT, MO US",1934-05-17,0.0,0.0,0.0,,85.0,58.0,,1934,5,17,05-17,1934-05
